,V1
1,-337.179632349423
2,-328.436472806157
3,-357.37854605712
4,-417.194527570652
5,-93.3433220615448
6,-131.731951066953
7,-92.0095376057854
8,-48.420848796967
9,-75.7916474082519
10,-82.6188673193156
11,-425.458449434689
12,-422.448070764236
13,-462.792434668895
14,212.858629090134
15,764.083702685562
16,645.549147498197
17,935.436324454185
18,879.555684322247
19,85.2502329894044
20,171.388446577597
21,-419.317859707336
22,441.622209310292
23,407.897377312916
24,370.059944000436
25,360.954845880021
26,542.77541073922
27,526.217705664521
28,517.639487711744
29,192.418749538728
30,214.894843525563
31,172.044203223418
32,-329.625603318439
33,-290.965573499352
34,-327.516315776035
35,1024.7592853654
36,603.662848011177
37,474.867490892808
38,68.5360663354104
39,-969.284206169899
40,-580.719927875979
41,-1298.29806063797
42,-2121.94078023399
43,-318.8397520537
44,-307.202801851425
45,-324.427267785698
46,-382.003877107323
47,-128.644629617651
48,-148.333983987006
49,-110.746666213424
50,-33.459416968804
51,-57.3497595955079
52,-59.1858936194455
53,-377.279003952142
54,-370.804957726183
55,-416.335470546881
56,-11.0853523629325
57,797.935825904008
58,760.224653674539
59,1015.67497735165
60,839.725464799953
61,156.827268577298
62,137.219421011406
63,-661.908777930724
64,373.482928358101
65,346.322025372262
66,306.409133008863
67,300.08015466078
68,513.221782025389
69,495.323818621163
70,493.532427656034
71,175.597522914791
72,198.339839524461
73,154.737202727721
74,-337.655339468545
75,-277.54472242688
76,-331.341846043296
77,1087.98439939801
78,675.732595186869
79,463.954892711817
80,236.405544809361
81,-944.403833411634
82,-560.185969220095
83,-1356.40924051127
84,-2013.58331589389
85,-359.659957802329
86,-337.034427431797
87,-357.592961856573
88,-409.923240832403
89,-146.356959923501
90,-179.574010535875
91,-137.629864741332
92,-54.7342628337757
93,-77.4620104024993
94,-76.8115170476802
95,-409.437947923538
96,-411.244738163761
97,-437.400008535665
98,87.1910271280038
99,899.287571077403
100,784.486862181402
101,998.361515204508
102,783.350473591928
103,68.2189176927405
104,214.934083310061
105,-440.968542155326
106,393.790275909698
107,373.828478040783
108,343.509350460961
109,337.921802873393
110,537.071991669826
111,512.873032047038
112,511.334792389597
113,188.92708048183
114,216.573178018619
115,167.671564995159
116,-355.209634517064
117,-324.489983021718
118,-354.184481421434
119,1154.36063719184
120,615.962953057952
121,421.5869179991
122,101.619529745084
123,-1068.81516459758
124,-571.05132806784
125,-1200.05115486437
126,-2003.22983839087
127,-352.695269033997
128,-346.289436938182
129,-383.060539883756
130,-453.051257010024
131,-87.2519409287991
132,-118.054601590549
133,-87.6487161645541
134,-33.7408344146999
135,-50.5099618331925
136,-53.6121892652264
137,-409.91739879418
138,-409.520623558425
139,-440.42909094971
140,270.391233512003
141,751.277643662584
142,718.441893753866
143,959.164376839284
144,911.674394890017
145,-80.2213425304416
146,167.663997365254
147,-472.610337127282
148,364.459027233216
149,321.99158432837
150,278.016629328741
151,278.719131688134
152,480.403459993101
153,467.63960750426
154,462.096444699783
155,132.468052987103
156,147.483988775128
157,117.025199984366
158,-153.649799629953
159,-135.342784336635
160,-152.988507570362
161,981.826207350374
162,634.396452999863
163,471.488623423433
164,85.3065621161571
165,-753.740365626808
166,-321.972843501888
167,-1504.42886987305
168,-2201.19780187334
169,-394.908000115019
170,-349.82248548695
171,-394.785648580366
172,-463.2960406894
173,-149.798232097615
174,-180.937753788058
175,-148.945714122485
176,15.0076105286811
177,-4.31721316195975
178,-16.6575590835993
179,-425.584674032539
180,-423.914081982854
181,-461.372860035525
182,237.789375107421
183,786.488212420398
184,755.178616111887
185,935.794080943942
186,1048.7957989602
187,-2.78979036252042
188,190.120442192547
189,-552.044082726194
190,443.342174273466
191,419.18138970193
192,390.874626139307
193,379.556872810865
194,507.395141405754
195,497.356165040006
196,482.481227793361
197,135.846435408153
198,153.892482136102
199,118.945332808055
200,-353.604894520302
201,-295.752774983031
202,-352.243950573623
203,1025.75530915256
204,511.600671782581
205,373.190240367358
206,81.878716844511
207,-713.650001501627
208,-330.772407877527
209,-1434.74697411573
210,-2040.52578209218
211,-323.360046110877
212,-293.938296156949
213,-325.485305281473
214,-387.684382823882
215,-58.0313277666457
216,-83.9205682328918
217,-45.6185128884835
218,0.948935961525213
219,-35.3036075935234
220,-27.991267890268
221,-452.174478094072
222,-447.05425099571
223,-502.702888639146
224,144.42438851462
225,762.952824177197
226,785.765847593371
227,1101.70170895299
228,1124.10392027901
229,-141.5947562328
230,-108.821797762389
231,-686.216139009584
232,302.357936250605
233,265.971207338219
234,236.035875476926
235,230.874052660152
236,470.005171165422
237,447.301079442065
238,439.333197215733
239,84.0602438095347
240,111.383110997317
241,69.507437038285
242,-424.825260359817
243,-376.436688099477
244,-421.435351687667
245,1028.41301992846
246,755.986030486007
247,555.402102603828
248,253.341005614243
249,-700.245347278158
250,-134.745532849201
251,-1406.50122007047
252,-1785.78206968201
253,-352.26191926843
254,-326.519937176283
255,-353.361332311811
256,-406.128110225938
257,-212.411266688278
258,-243.224001964713
259,-202.203569713779
260,73.7932758905725
261,39.125137559921
262,49.1799114014744
263,-387.276607066633
264,-380.983525066166
265,-417.844975170246
266,117.17614753625
267,973.390318441746
268,340.819989191102
269,1167.7700825886
270,975.721593830875
271,-100.743755900848
272,126.022894183579
273,-480.040350070997
274,395.681992565893
275,353.543157158743
276,311.528521897585
277,300.122225933345
278,484.346250180185
279,466.025717077881
280,456.679053313872
281,153.14119930163
282,182.556707369051
283,137.797803330007
284,-375.086169389022
285,-328.931018107789
286,-378.032054366468
287,1191.9365297335
288,734.352508211346
289,390.914846853027
290,-99.2104706466923
291,-1062.91915057454
292,-160.51364833134
293,-1267.68976176867
294,-1886.24423974154
295,-394.181457668793
296,-361.461344469946
297,-388.828534918558
298,-448.986942248606
299,-196.271816046137
300,-232.940909991659
301,-182.605533743589
302,69.8106257554324
303,42.2206070925261
304,46.8475732243351
305,-379.132570575305
306,-383.8761206742
307,-419.834964023278
308,282.424812307826
309,916.521288549775
310,276.61849924399
311,1129.87186055621
312,942.992009711625
313,-154.177384538223
314,254.334416950275
315,-419.344114493708
316,365.358099814139
317,335.657059781622
318,288.092803384323
319,280.663372831029
320,517.377520064157
321,500.483986815872
322,489.619082733719
323,142.089120242976
324,163.664057549273
325,115.706426671688
326,-360.372244334018
327,-334.278712741582
328,-366.127893170573
329,1207.18121512595
330,699.181637854254
331,443.472003687346
332,-233.320980014824
333,-1038.93288600984
334,-61.9723870404829
335,-1325.42100459764
336,-1828.12027864739
337,-347.698064993036
338,-323.046494918359
339,-363.747218736058
340,-423.431601833919
341,-126.938622392703
342,-154.181820676583
343,-125.716552302022
344,-50.3281985252787
345,-86.0234327841561
346,-87.7160686576498
347,-446.194588711992
348,-442.887091829946
349,-483.882256051186
350,353.817907152001
351,976.01645703035
352,390.303326344352
353,1047.04432389011
354,987.095689526377
355,-152.384860513935
356,238.419044500635
357,-378.519875517019
358,371.916257772426
359,336.75915570574
360,294.384336975364
361,296.30097700729
362,506.91822335794
363,496.772828427245
364,486.740679059546
365,155.433586944525
366,183.697567487071
367,132.547082051541
368,-380.67768688236
369,-344.766057888102
370,-374.958709752007
371,1207.21706343181
372,705.825766823904
373,374.879182607585
374,-11.8033610029785
375,-1084.40241147799
376,-208.923116884335
377,-1247.10767907225
378,-1896.75368469197
379,-527.048090470959
380,-500.656494669296
381,-531.006688450332
382,-572.724198370168
383,-312.857634571261
384,-344.732109441842
385,-313.711584056339
386,-119.28678285771
387,-140.935260880867
388,-140.861519468317
389,-435.562433871349
390,-437.51534167567
391,-469.413601142768
392,411.736363156002
393,978.069709383424
394,826.656449072907
395,931.656696292992
396,792.308192897634
397,527.160138498115
398,431.394006307272
399,-52.6698156814722
400,452.961462209831
401,413.402363251817
402,388.171247083684
403,374.155719179323
404,484.543837442993
405,486.25173641315
406,468.606600007703
407,149.914195740928
408,162.67825644707
409,131.36515303437
410,-77.0439777952278
411,-52.1985384464064
412,-87.7100354949488
413,1002.71500832247
414,237.152005866139
415,83.683536496236
416,-212.263819051137
417,-851.561129064971
418,-880.267202452402
419,-1098.45988165413
420,-1576.0965375365
421,-480.745039330248
422,-457.732422060039
423,-479.262630360591
424,-519.442771503111
425,-292.635632347235
426,-338.524095936782
427,-297.856266430321
428,-135.441651397901
429,-165.689491003807
430,-161.332609738914
431,-346.75324565387
432,-358.162152996792
433,-382.391374886046
434,434.896656492329
435,944.887314509184
436,863.493623862767
437,918.521637936982
438,835.461200899782
439,72.5834459650234
440,384.846559507443
441,-38.7210555278459
442,491.613200173148
443,455.126793225045
444,422.862430978746
445,409.600853375267
446,521.282435189306
447,523.487957250716
448,499.26453852481
449,202.171992734733
450,222.356563016501
451,191.761674773093
452,-219.312189312077
453,-170.896302064797
454,-224.675397509383
455,957.498426900822
456,188.750654169578
457,106.084832240135
458,-134.648965977479
459,-944.821359123575
460,-345.399587776339
461,-1227.0184655117
462,-1925.09008527655
463,-447.979026852025
464,-444.11555206787
465,-473.827998086319
466,-517.057506247443
467,-220.973274563773
468,-247.441664548885
469,-220.087147380686
470,-178.401774868586
471,-207.606703563959
472,-202.053139710786
473,-351.920168510174
474,-356.50789517149
475,-396.328880526487
476,435.335731625396
477,866.419765197177
478,556.525782910672
479,819.776455451717
480,711.034888043328
481,499.608161045273
482,402.3478140347
483,-26.7478662097622
484,514.016120034307
485,484.624147385139
486,445.041109942557
487,436.350887009439
488,549.235712943591
489,545.936157416692
490,519.870976018739
491,228.316642231166
492,255.10581331107
493,194.043397550204
494,-159.546565216998
495,-109.10370002324
496,-171.616036207717
497,897.133655284978
498,258.205448217853
499,133.654377358207
500,-210.023719622252
501,-937.308948418741
502,-927.984945012959
503,-1065.31938303477
