,V1
1,43.6911278677008
2,19.8667850324816
3,7.82061081380694
4,6.42249186414192
5,5.15594654560473
6,4.03154621459977
7,2.00287989867271
8,1.59414558324479
9,1.50388199884872
10,1.42755548105437
11,1.14025094388574
12,0.99635409614234
13,0.799481030133948
14,0.728511019919037
15,0.678173229143104
16,0.458455607894149
17,0.393873586667919
18,0.375229795001048
19,0.348842962203149
20,0.246566157059581
21,0.154808851980058
22,0.0536664990537033
23,0.0269305967980402
24,0.0171668298465142
25,0.0107280653870564
26,0.00807633947723175
27,0.0068259820583862
28,0.00576250172355099
29,0.0050942846352913
30,0.0046462551722496
31,0.00394648083229058
32,0.00351068660055059
33,0.00331307061468136
34,0.00280519903925048
35,0.00237408685269054
36,0.00228565052258794
37,0.00195501717382047
38,0.00177498368864756
39,0.00161888711735433
40,3.2197055118491e-09
41,7.11964513096344e-28
42,3.73866930209331e-28
